No,Title,URL,Summary
0,日本株は小幅続伸へ、米ハイテク株高を好感した買い－円高は重し,https://www.bloomberg.co.jp/news/articles/2022-01-12/R5M7M5T1UM0X01?srnd=cojp-v2,東京株式相場は小幅に続伸する見込み。米国で長期金利が一時低下した中で米ハイテク株が値上がりし、半導体関連などの成長株には買いが入る。投資家の関心を集めていた昨年12月の米消費者物価指数（ＣＰＩ）は39年ぶりの高い伸びとなったものの、市場予想の範囲内だったの見方が広がった。ただ外国為替市場でドル・円相場が１ドル＝114円台と円高に振れており、輸出関連には売りが出やすく株式相場の重しになりそうだ。米シカゴ先物市場（ＣＭＥ）の日経平均先物（円建て）の清算値は２万8650円と、大阪取引所の通常取引終値（２万8740円）に比べ90円安米国株は小幅続伸－米10年債利回りはほぼ変わらずの1.74％付近。一時は1.71％前後に低下市場関係者の見方野村証券の伊藤高志シニア・ストラテジスト株式市場にとって米ＣＰＩは買い安心感の出る内容といえる。39年ぶりの大幅上昇ではあるが、今後は前年に低迷した反動の効果が薄くなる面に意識が向かいやすい株価指数は小安く始まった後に持ち直す動きが見込める。これから始まる企業決算の発表を前に業績期待があるため、スピード調整的な動きになりそうだ米国でＩＴや一般消費財株などが物色され流れなどを引き継いで、日本では輸送用機械や機械、電気機器など昨年後半からのばん回生産期待の強いものがアウトパフォームするだろう背景
1,【今朝の５本】仕事始めに読んでおきたい厳選ニュース,https://www.bloomberg.co.jp/news/articles/2022-01-12/R5M1F9T0G1KX01?srnd=cojp-v2,中国の首都北京に隣接する天津市では新型コロナウイルス感染が広がり、地方議会に相当する人民代表大会の延期が決定。一方、国際オリンピック委員会（ＩＯＣ）は、北京冬季五輪は参加者と一般市民が接触しない「クローズド・ループ」方式であるのを理由に、安全な大会運営に自信を示しています。ニューヨーク市ではオミクロン株が確認されてからの１カ月間で感染者が爆発的に増加しました。北京五輪の開催は、天津市でオミクロン感染が確認されてから約１カ月後というタイミング。果たして「ゼロコロナ」はウイルスに勝てるのか。以下は一日を始めるにあたって押さえておきたい５本のニュース。39年ぶりの高い伸び昨年12月の米消費者物価指数（ＣＰＩ）は前年同月比７％上昇と、 1982年６月以来の高い伸びとなった。米連邦公開市場委員会（ＦＯＭＣ）が３月の会合で利上げ開始を決定するとの見方を一段と強める内容だ。バークレイズの米国担当チーフエコノミスト、マイケル・ゲーペン氏は「異常値をもたらすようなイベントが発生しない限り、３月の利上げを止める要因は何も見当たらない」と語った。上場株に１兆円超投資サウジアラビアの政府系ファンド（ＳＷＦ）、パブリック・インベストメント・ファンド（ＰＩＦ）は2022年、上場株式に 約100億ドル（約１兆1500億円）を投じる計画。事情に詳しい複数の関係者が明らかにした。ＰＩＦは電子商取引や再生可能エネルギーといった分野に的を絞ったテーマ戦略に基づき、世界の株式購入を予定しているという。英首相が異例の謝罪ジョンソン英首相は、新型コロナウイルス禍でのロックダウン（都市封鎖）中だった2020年５月に官邸の庭で開かれた行事に出席したことを謝罪した。当時、屋外での集まりは違法だった。首相は職務関連のイベントだったとの見解を示した上で「あの晩に違う行動を取っておけばよかったと、 強く後悔している」と発言した。ボラティリティー復活か債券と株式市場のボラティリティーが高まる中でも外国為替市場は相対的に落ち着いている。しかし世界の中央銀行の政策が乖離（かいり）するに伴い、外為市場にも 変化が訪れるとモルガン・スタンレーやＢＮＰパリバのストラテジストが予想している。テスラ車を遠隔操作19歳の自称ＩＴ（情報技術）スペシャリスト、デービッド・コロンボ氏は13カ国で25台を超える米テスラの電気自動車（ＥＶ）のシステムに リモート操作で侵入したと主張している。ソフトウエアの欠陥によってドアや窓のロックを解除し、鍵を使わずに車をスタートさせたという。その他の注目ニュース【新型コロナ】ロンドンの感染率低下、複数国がエンデミックとの認識ローム、中国天津工場を９日から稼働停止－現地のコロナ感染制限で米モルガンＳ、成果上位の従業員のボーナス20％超増額へ－報道
2,ブレイナード次期ＦＲＢ副議長、高インフレ抑制が最も喫緊の課題,https://www.bloomberg.co.jp/news/articles/2022-01-12/R5M94ZDWLU6H01?srnd=cojp-v2,"バイデン米大統領が先に連邦準備制度理事会（ＦＲＢ）副議長に指名したブレイナード理事は13日に行う上院銀行委員会での指名承認公聴会で、包摂的な景気回復を維持しながら、高インフレの抑制に取り組んで２％の物価目標にまで沈静化させることが連邦準備制度にとって最も差し迫った課題であるとの考えを示す。 証言テキストが12日に事前公表された。ブレイナード氏はその中で、「インフレ率は高過ぎて、全米の勤労者は自分たちの給与がどの程度までそれを反映することになるのか心配している」と指摘。「当局の金融政策運営は誰も置き去りにすることのないような景気回復を維持しつつ、インフレ率を２％に落ち着かせることに重点を置いている。これがわれわれの最も重要な課題だ」と強調した。ブレイナードＦＲＢ理事ブレイナード氏が証言する上院銀行委の指名承認公聴会は米東部時間13日午前10時（日本時間14日午前０時）に開始の予定。同氏は、ＦＲＢ理事任期満了まで２週間余りを残して14日で辞任するクラリダ副議長の後任となる。ブレイナード氏は証言テキストで、ホワイトハウスのスタッフや米財務次官（国際問題担当）などのポストも含む過去30年ほどのキャリアで幾つもの金融危機に対処した豊富な経験に言及。さらに、「連邦準備制度の独立した不偏不党の地位にコミットしている」ことを表明した。また、「全米の勤労者や企業、金融機関、大小のコミュニティーの知見を活用した上で、当局の議論で熟慮を重ね独立した意見を述べる意向だ。米国民の利益にかなうとともに、法律およびエビデンスの注意深い分析に基づく政策を支持していく」との抱負を示した。原題：Fed’s Brainard Says Inflation Too High, Curbing It a Top Task、 Fed’s Brainard Says Inflation Too High, Curbing It a Top Task（抜粋）"
3,米インフレ高進、今後も続く公算大－ＦＲＢに行動求める圧力強まる,https://www.bloomberg.co.jp/news/articles/2022-01-12/R5M577T0G1KY01?srnd=cojp-v2,"昨年12月の米消費者物価指数（ＣＰＩ）は39年ぶりの大幅上昇となったが、目を見張るようなインフレ率は今後も続く公算が大きいとみられている。国民の負担はさらに増し、政策当局者に行動を求める圧力が強まりそうだ。米労働省の12日の発表によると、12月のＣＰＩは前年同月比７％上昇し、1982年６月以来の高い伸びとなった。前月比では市場予想を上回る0.5％上昇だった。ただ、今回のデータは全体的には予想とほぼ一致したため、投資家は比較的冷静に受け止めた。米消費者物価指数、前年比で39年ぶり大幅上昇－利上げ観測後押しHottest in Decades U.S. headline inflation jumped in December by the most since 1982 Source: Bureau of Labor Statistics, Bloomberg survey多くのエコノミストは、インフレ率が年内に３％前後に落ち着くと予想しているが、消費者が一息つけるのは数カ月先になりそうだ。特に新型コロナウイルスのオミクロン変異株の広がりが人手不足を一層深刻化させており、店舗への商品出荷に影響するためだ。物価の落ち着きを示す兆しが表れない場合、米連邦準備制度の当局者は、より積極的な利上げおよびバランスシート縮小に着手することを余儀なくされる可能性もある。11月の中間選挙で民主党が過半数を維持することを一層困難にし、バイデン政権が推し進める税制・支出法案の成立も難しくなる恐れがある。ウェルズ・ファーゴのシニアエコノミスト、サラ・ハウス氏は「この数カ月の幅広い物価上昇は、打ち砕くのが困難な勢いをインフレに与えている」と指摘。「向こう数カ月間は７％近辺のＣＰＩ上昇率が続くと予想する」と述べた。米国家経済会議（ＮＥＣ）のディース委員長、物価上昇圧力は緩和されると語る Source: Bloomberg12月は項目別でエネルギー価格が４月以来の低下となり、食品価格の上昇もより緩やかになるなど、米消費者にとって明るい兆しもあった。バイデン大統領は物価抑制に向けた取り組みが 前進しつつあることを示すと指摘したが、さらに成すべきことがあると認めた。インフレ率が予想通り低下するかはサプライチェーンの正常化とエネルギー価格の安定にかかっている。しかし、家賃上昇、賃金の力強いの伸び、コロナ感染の新たな波、サプライチェーン上の根強い制約要因などが物価見通しの上振れリスクとなっている。自動車や衣服など一部品目の価格は落ち着いていくと予想されるが、「ほかのコア部分の大半については、同様の展開を期待するような理由は特に見当たらない」とアマースト・ピアポント・セキュリティーズのチーフエコノミスト、スティーブン・スタンリー氏は指摘した。「年内に供給ボトルネックが緩和され始めれば、上昇傾向が沈静化される品目も当然あるだろう。だが同時に、賃金からの物価への圧力は強まるばかりだ」と語った。原題： U.S. Inflation Shows More Staying Power After Hitting 7% in 2021（抜粋）"
4,米地区連銀経済報告：成長期待はなお高い、一部では低下も,https://www.bloomberg.co.jp/news/articles/2022-01-12/R5M2K4T0G1KW01?srnd=cojp-v2,連邦準備制度理事会（ＦＲＢ）が12日公表した地区連銀経済報告（ベージュブック）によれば、昨年末に経済は緩やかなペースで成長したが、今後数カ月に対する企業の成長期待は一部で低下した。ベージュブックは「楽観的な見方は依然として強いが、幾分か弱まった。今後６カ月間、経済成長が続くとの明るい見通しを示した企業の割合が低下した」と記述している。12連銀のうち10連銀は、新型コロナウイルスのオミクロン変異株が活動に影響を及ぼし、労働市場を巡る問題を深刻化させていると指摘した。今月25－26日の連邦公開市場委員会（ＦＯＭＣ）会合では、ゼロ近辺にある政策金利を３月に引き上げることを示唆するとみられている。オミクロンがなお不確実性の原因になっているものの、パウエル議長は11日の議会公聴会で、経済は今後数カ月にそれを乗り越えられるとの見通しを示した。今回のベージュブックは12地区連銀が１月３日までに集めた情報を基に、カンザスシティー連銀がまとめた。ベージュブックは「大半の連銀地区で企業は物価の強い伸びを顧客に転嫁したと報告したが、一部地区では物価上昇がやや減速したとの声もあった」と指摘した。米消費者物価指数、前年比で39年ぶり大幅上昇－利上げ観測後押し米金融当局は1980年代以来の高インフレに対応するよう、議会や国民から圧力を受けている。パウエルＦＲＢ議長は11日、上院銀行委員会での指名承認公聴会で、インフレ高進の抑制と景気拡大の持続に必要なあらゆる措置を講じると言明した。議長は質疑応答で、「やがて追加利上げが必要になればそうする」とし、「インフレを沈静化させるために金融当局のツールを活用する」と話した。パウエル議長、ＦＲＢはインフレ抑制と景気拡大持続に取り組むウォラーＦＲＢ理事やアトランタ連銀のボスティック総裁、クリーブランド連銀の メスター総裁らは、現在の経済状況が続いた場合に３月の利上げ開始を望む考えを示唆している。３月利上げ求める声、米金融当局者で高まる－メスター総裁らも支持原題： Fed Says Economic Optimism Showing Signs of Cooling in Places（抜粋）
5,クリーブランド連銀総裁、緩和策解除の論拠「極めて説得力ある」,https://www.bloomberg.co.jp/news/articles/2022-01-12/R5LW7JT0AFB401?srnd=cojp-v2,米クリーブランド連銀のメスター総裁は12日、当局は金融市場を混乱させずにできるだけ速やかにバランスシートを縮小すべきだとの見解を示した。また、３月の利上げ開始を支持する考えをあらためて示した。総裁は米紙ウォールストリート・ジャーナル（ＷＳＪ）のライブイベントで「緩和策を解除する論拠には極めて説得力がある」と言明。また「当局のバランスシート上の資産水準を下げるため、バランスシートを巡ってどのような対応が可能かを検討することにもなるだろう」と述べた。クリーブランド連銀のメスター総裁 Photographer: Chris Ratcliffe/Bloombergメスター総裁、３月の利上げ支持－経済状況が現在と同様ならどの程度迅速なバランスシート圧縮が望ましいと考えるかとの質問に対しては、「米経済は資産削減を前回開始した時よりもはるかに力強い状態にある」とし、「率直に言って、金融市場の機能を妨げないことを条件にできるだけ速やかに縮小したい」と語った。米金融当局者の最新の金利予測分布図（ドット・プロット）中央値では今年３回の利上げが見込まれているが、メスター総裁は自身も同じ予想であることを確認した。同総裁はさらに「供給制約の一部が解消される中で、新型コロナウイルスのパンデミック（世界的大流行）が収束し労働市場がもう少し正常化するという条件が整えば、インフレ率の指標は沈静化するだろう」と発言。「ただそれには、パンデミック中に実施せざるを得なかった異例の緩和策を解除するという点で当局が必要なことをすることが求められる」と話した。メスター総裁は今年の連邦公開市場委員会（ＦＯＭＣ）で投票権を持つ。米消費者物価指数、前年比で39年ぶり大幅上昇－利上げ観測後押し (3)原題： Mester Says Shrink Fed Balance Sheet Fast But Don’t Roil Markets（抜粋）
6,日銀の物価見通し・リスク評価変更を予想、金融政策維持へ－サーベイ,https://www.bloomberg.co.jp/news/articles/2022-01-12/R5KZQCDWLU6M01?srnd=cojp-v2,日本銀行が来週開く金融政策決定会合では、原材料価格の高騰や円安進行を背景に、消費者物価見通しの上方修正やリスク評価の変更が行われると多くのエコノミストがみている。２％の物価安定目標の実現が展望できない状況の下、金融政策は据え置きが見込まれている。エコノミスト48人を対象に５－12日に実施した調査によると、47人が17、18日の決定会合で金融政策の現状維持が決まると予想した。次の政策変更に関しては、96％が金融引き締めとみており、2022年中の引き締めを15％が見込む。それぞれ前回12月調査の91％、12％から増加した。調査リポート：日銀１月決定会合でほぼ全員が現状維持を予測物価のリスクバランス評価 大半のエコノミストは変更があり得ると予想 出所：ブルームバーグ・サーベイ日銀は会合後に新たな経済・物価情勢の展望（展望リポート）を公表する。エコノミストの80％近くが、今回のリポートでこれまで「下振れリスクの方が大きい」としてきた物価のリスクバランス評価が変更される可能性が高いとみている。日銀が物価見通しのリスク評価変更を議論へ、従来「下振れ」－関係者ＵＢＳ証券の足立正道チーフエコノミストは「今回はインフレリスクの方向性が下振れから中立に修正されるとみており、それに伴う政策的インプリケーションを日銀がどう説明するかが要注目だ」としている。企業間で取引するモノの価格を示す企業物価指数は、昨年11月に前年同月比9.0％上昇と41年ぶりの高い伸びとなった。企業を中心にインフレ期待が上昇しており、価格転嫁の動きも広がっている。物価上昇・円安対応物価上昇や円安進行に対応するため、年内に日銀が何らかの措置を迫られる可能性について今回の調査で尋ねたところ、エコノミストの約80％が「可能性は低い」と答えた。野村証券の松沢中チーフストラテジストは、リスク評価を変更しても「基本的に外部要因（特に原油高）であり、国内景況、特に賃金見通しの変化を伴っている訳ではないので、金融政策正常化にはつながりづらい」との見方を示す。東短リサーチの加藤出チーフエコノミストは、年内に日銀が政策の微修正を行う確率は３割程度とし、「今後の為替、物価動向に注目すべきだ」と指摘する。世界的に急拡大している新型コロナウイルスのオミクロン株の日本経済への影響について、83％が「経済の重しにはなるだろうが深刻ではない」と回答。円安が大幅に進み日本経済に悪影響を及ぼす可能性は、「低い」「非常に低い」が合わせて85％に達した。
7,ジェフリーズ、債券トレーディング収入急減－ボラティリティー低下で,https://www.bloomberg.co.jp/news/articles/2022-01-12/R5LNY4T1UM0Y01?srnd=cojp-v2,米金融サービス会社 ジェフリーズ・ファイナンシャル・グループは、昨年９ー11月（第４四半期）の債券トレーディング収入が50％急減したと明らかにした。新型コロナウイルスのパンデミック（世界的大流行）の影響で市場が混乱した前年同期に比べ、ボラティリティーが低下したことが響いた。債券事業での大幅な落ち込みも影響し、第４四半期のトレーディング事業全体の収入は28％減少した。ジェフリーズはトレーディング収入の減少について、「顧客の取引が活発だった前年同期に比べ、債券トレーディングの厳しい市場環境の中で取引量が減ったことが主な原因だ」と 発表文で説明した。同行は大手投資銀行より先に決算を発表する傾向があるため、業界の先行指標とされる。14日にはＪＰモルガン・チェースとシティグループが決算を発表する。投資銀行・資本市場部門の収入は16億1000万ドル（約1858億円）と、前年同期比５％増。純総収入は３％減の18億1000万ドルだった。原題： Jefferies Trading Revenue Drops on Bite From Fixed-Income Slump（抜粋）
8,米天然ガス先物急騰、暖房需要高まる－東海岸で寒さ厳しくなる予報,https://www.bloomberg.co.jp/news/articles/2022-01-12/R5M824DWX2PT01?srnd=cojp-v2,米国の天然ガス先物価格は今年、過去最も力強い滑り出しとなっている。厳しい寒さで暖房需要が高まっているほか、トレーダーが弱気の投資の巻き戻しを急いでいる。12日の市場で２月限は14％高の１ＭＭＢｔｕ＝4.857ドルに達し、今年に入ってからの上昇率は30％と、年初の上昇率としては1990年の取引開始以降で最大。天気予報によると、東海岸の人口が集中する地域で一段と寒くなる方向で、南部は週末に冬の嵐に見舞われるもようだ。ＢＯＫファイナンシャル・セキュリティーズのシニアバイスプレジデント、デニス・キスラー氏は「足元の動きはショートカバーに加え、１月から２月末にかけてのどのくらい寒い天候になり得るかがテーマだ」と指摘した。また「欧州の供給逼迫（ひっぱく）はアジアにも波及する可能性があり、ショートにしたい人はいない」と語った。原題： U.S. Natural Gas Extends Historic Rally as Cold Hits East Coast (2)（抜粋）
9,５１ジョブの取得目指す投資家グループ、買収額28％引き下げを提案,https://www.bloomberg.co.jp/news/articles/2022-01-12/R5M3HAT0AFB401?srnd=cojp-v2,中国で求人関連サービスを提供する５１ジョブの買収で昨年６月に合意していた投資家グループが買収額を約28％引き下げようとしている。規制強化が中国のテクノロジー業界をなお圧迫していることが背景。51ジョブの筆頭株主はリクルートホールディングス。５１ジョブの12日の発表資料によると、ＤＣＰキャピタル・パートナーズが支援する投資家グループは買収価格を合意していた１株当たり79.05ドルから57.25ドルに引き下げることを提案した。これは５１ジョブの米国預託証券（ＡＤＲ）の11日終値を25％上回る水準。ブルームバーグは先に、５１ジョブが市場環境の変化を反映させるため、提示額57億ドル（約6530億円）の引き下げを検討していると伝えていた。５１ジョブの甄栄輝（リック・ヤン）最高経営責任者（ＣＥＯ）やオーシャン・リンク・パートナーズも参加する投資家グループは買収額引き下げについて、中国雇用市場が規制強化で打撃を受ける見通しであることや新型コロナウイルスによる経済への悪影響が続いていることが反映されたと説明した。発表資料によると、５１ジョブの特別取締役委員会は変更された買収提案についてまだ決定を下しておらず、顧問と共に検討する予定。情報が非公開だとして複数の関係者が匿名で明らかにしたところでは、提示額の引き下げにより甄ＣＥＯは持ち分を増やす見通しで、リクルートも当初の予定より増やす可能性がある。リクルートの広報担当者はコメントを控えた。投資家グループの参加者に営業時間外にコメントを求めたが、これまでに返答はない。原題：51job Buyer Cuts Offer by 28% Amid China Tech Crackdown (2)（抜粋）
